"id";"x";"y";"p_mac1";"p_mac2";"p_mac3";"p_mac4";"p_mac5";"p_mac6";"p_mac7";"p_mac8"
63;8.0;6.0;-56.0;-64.0;-73.0;-68.0;-58.0;-45.0;-54.0;-80.0
64;0.0;7.0;-52.0;-62.0;-71.0;-66.0;-53.0;-50.0;-42.0;-73.0
65;1.0;7.0;-48.0;-64.0;-69.0;-63.0;-45.0;-43.0;-46.0;-75.0
66;2.0;7.0;-54.0;-63.0;-70.0;-67.0;-48.0;-37.0;-42.0;-76.0
67;3.0;7.0;-48.0;-58.0;-61.0;-68.0;-56.0;-36.0;-51.0;-77.0
68;4.0;7.0;-53.0;-66.0;-67.0;-66.0;-58.0;-35.0;-48.0;-84.0
69;5.0;7.0;-51.0;-61.0;-64.0;-71.0;-49.0;-32.0;-50.0;-77.0
70;6.0;7.0;-52.0;-61.0;-61.0;-66.0;-59.0;-40.0;-51.0;-76.0
71;7.0;7.0;-57.0;-59.0;-62.0;-71.0;-58.0;-41.0;-52.0;-72.0
72;8.0;7.0;-54.0;-65.0;-67.0;-66.0;-49.0;-39.0;-51.0;-71.0
73;0.0;8.0;-53.0;-69.0;-70.0;-60.0;-56.0;-50.0;-28.0;-76.0
74;1.0;8.0;-55.0;-71.0;-70.0;-58.0;-55.0;-53.0;-34.0;-76.0
75;2.0;8.0;-49.0;-66.0;-68.0;-65.0;-57.0;-54.0;-37.0;-75.0
76;3.0;8.0;-51.0;-65.0;-67.0;-63.0;-56.0;-50.0;-41.0;-81.0
77;4.0;8.0;-50.0;-67.0;-70.0;-65.0;-49.0;-44.0;-50.0;-74.0
78;5.0;8.0;-54.0;-63.0;-64.0;-68.0;-54.0;-37.0;-49.0;-75.0
79;6.0;8.0;-55.0;-64.0;-69.0;-68.0;-54.0;-32.0;-50.0;-74.0
80;7.0;8.0;-56.0;-60.0;-68.0;-71.0;-57.0;-30.0;-55.0;-80.0
81;8.0;8.0;-52.0;-62.0;-64.0;-67.0;-53.0;-38.0;-57.0;-74.0
